iter	Passed	Remaining
0	2	536
1	4	474
2	6	441
3	9	461
4	11	462
5	13	451
6	15	440
7	18	435
8	20	427
9	22	429
10	25	442
11	28	446
12	30	442
13	32	434
14	34	427
15	36	422
16	39	422
17	41	417
18	43	413
19	45	407
20	47	401
21	48	394
22	50	391
23	52	387
24	55	391
25	57	388
26	59	382
27	61	378
28	63	374
29	65	372
30	67	370
31	70	370
32	72	368
33	74	365
34	77	363
35	79	360
36	81	357
37	83	357
38	86	356
39	89	356
40	91	353
41	93	350
42	95	348
43	97	345
44	99	343
45	102	342
46	104	339
47	106	337
48	108	334
49	110	331
50	112	329
51	114	325
52	116	322
53	118	320
54	120	317
55	122	314
56	124	312
57	126	309
58	128	308
59	131	307
60	133	304
61	135	301
62	137	298
63	139	295
64	140	292
65	142	289
66	143	284
67	145	281
68	146	278
69	148	276
70	150	273
71	152	270
72	154	267
73	155	265
74	157	263
75	159	260
76	161	258
77	163	255
78	165	253
79	167	250
80	168	248
81	170	245
82	172	243
83	174	241
84	176	238
85	178	236
86	180	234
87	182	232
88	184	229
89	186	227
90	188	225
91	190	223
92	191	220
93	193	218
94	195	215
95	197	214
96	199	212
97	201	209
98	204	208
99	206	206
100	208	203
101	210	201
102	211	199
103	213	197
104	215	194
105	217	192
106	219	190
107	221	188
108	223	186
109	225	184
110	226	181
111	228	179
112	230	177
113	232	175
114	234	173
115	236	171
116	237	168
117	239	166
118	241	164
119	244	162
120	246	161
121	248	158
122	250	156
123	252	154
124	254	152
125	256	150
126	257	148
127	259	145
128	261	143
129	263	141
130	265	139
131	267	137
132	268	135
133	270	133
134	272	131
135	274	129
136	276	127
137	277	124
138	279	122
139	281	120
140	283	118
141	285	116
142	287	114
143	289	112
144	292	110
145	294	108
146	296	106
147	298	104
148	299	102
149	302	100
150	304	98
151	305	96
152	308	94
153	310	92
154	312	90
155	314	88
156	315	86
157	318	84
158	320	82
159	322	80
160	324	78
161	326	76
162	327	74
163	329	72
164	331	70
165	332	68
166	334	66
167	336	64
168	338	62
169	340	60
170	341	57
171	343	55
172	345	53
173	347	51
174	349	49
175	350	47
176	352	45
177	354	43
178	356	41
179	358	39
180	359	37
181	361	35
182	363	33
183	365	31
184	367	29
185	369	27
186	371	25
187	372	23
188	374	21
189	376	19
190	377	17
191	379	15
192	381	13
193	383	11
194	384	9
195	386	7
196	388	5
197	390	3
198	391	1
199	393	0
