accommodates,bedrooms,beds,bathrooms,latitude,longitude,neighbourhood_cleansed,property_type,room_type,minimum_nights,availability_30,availability_365,number_of_reviews,reviews_per_month,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,month,day_of_week,nb_amenities,amenities,distance_center_km,lat_from_median,lon_from_median,people_per_bedroom,amenities_per_person,estimated_months_active,price
4.0,1.0,1.0,1.0,47.636289038357184,-122.37102519997764,81.0,0.0,0.0,1.0,14.0,346.0,207.0,4.07,95.0,10.0,10.0,10.0,10.0,9.0,10.0,12.0,0.0,10.0,1467.0,4.431820934663354,0.012688107482539124,0.04215076511225391,2.0,2.0,49.64028776978417,85.0
4.0,1.0,1.0,1.0,47.63912312136253,-122.36566646439582,81.0,0.0,0.0,2.0,13.0,291.0,43.0,1.48,96.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,0.0,16.0,2729.0,4.434593870309491,0.015522190487885723,0.03679202953043159,2.0,3.2,27.21518987341772,150.0
11.0,5.0,7.0,4.5,47.62972413157736,-122.3694831756176,81.0,9.0,0.0,4.0,1.0,220.0,20.0,1.15,97.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,0.0,21.0,1350.0,3.8269340394962845,0.006123200702717213,0.04060874075221932,1.8333333333333333,1.75,16.0,975.0
3.0,0.0,2.0,1.0,47.638473201766416,-122.36927912263018,81.0,0.0,0.0,1.0,0.0,143.0,0.0,1.54,96.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,0.0,14.0,864.0,4.535968579291168,0.014872270891771677,0.04040468776479145,3.0,3.5,0.0,100.0
6.0,3.0,3.0,2.0,47.63291840276724,-122.37247063402224,81.0,9.0,0.0,1.0,30.0,365.0,38.0,0.89,92.0,9.0,9.0,10.0,10.0,9.0,9.0,12.0,0.0,13.0,2060.0,4.233650459680086,0.009317471892593687,0.04359619915685187,1.5,1.8571428571428572,38.38383838383839,450.0
2.0,1.0,1.0,1.0,47.63052548240193,-122.36617406518856,81.0,9.0,1.0,1.0,0.0,302.0,17.0,2.45,95.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,0.0,6.0,216.0,3.7139591870237783,0.006924551527283995,0.03729963032317585,1.0,2.0,6.666666666666666,120.0
2.0,1.0,1.0,1.0,47.63660544532006,-122.36851905844937,81.0,9.0,1.0,3.0,20.0,346.0,58.0,2.46,99.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,0.0,7.0,215.0,4.338122158466079,0.013004514445412951,0.0396446235839818,1.0,2.3333333333333335,22.65625,80.0
2.0,1.0,1.0,1.0,47.64016054121466,-122.37585597885769,81.0,4.0,1.0,2.0,22.0,100.0,173.0,4.73,97.0,10.0,10.0,10.0,10.0,9.0,10.0,12.0,0.0,7.0,226.0,4.9933260352587885,0.016559610340017628,0.04698154399230248,1.0,2.3333333333333335,35.81780538302277,60.0
2.0,1.0,1.0,1.0,47.63241029982899,-122.35721606914028,81.0,0.0,1.0,3.0,6.0,341.0,8.0,1.22,97.0,10.0,9.0,10.0,9.0,10.0,10.0,12.0,0.0,15.0,2029.0,3.4637229756898757,0.008809368954345587,0.028341634274895,1.0,5.0,6.0606060606060606,90.0
4.0,1.0,1.0,1.0,47.63749172022628,-122.3668885909212,81.0,0.0,0.0,2.0,6.0,324.0,32.0,1.55,97.0,10.0,10.0,10.0,10.0,10.0,9.0,12.0,0.0,16.0,2729.0,4.340824564318952,0.01389078935163468,0.03801415605582292,2.0,3.2,19.39393939393939,150.0
2.0,1.0,1.0,1.0,47.63548170841016,-122.35847776162176,81.0,9.0,0.0,3.0,0.0,153.0,181.0,3.33,97.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,0.0,21.0,1945.0,3.8027928787519207,0.011880777535516529,0.029603326756372894,1.0,7.0,52.76967930029154,95.0
2.0,1.0,1.0,1.0,47.63721407513561,-122.3600457614146,81.0,9.0,0.0,3.0,21.0,229.0,8.0,0.98,97.0,10.0,10.0,9.0,10.0,10.0,9.0,12.0,0.0,12.0,1131.0,4.028062946330298,0.01361314426096527,0.031171326549213063,1.0,4.0,7.4074074074074066,99.0
4.0,2.0,3.0,1.0,47.63554551151239,-122.37317075183506,81.0,0.0,0.0,3.0,30.0,362.0,13.0,0.92,98.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,0.0,17.0,1621.0,4.47860003981586,0.011944580637745617,0.04429631696967817,1.3333333333333333,3.4,12.745098039215685,245.0
