accommodates,bedrooms,beds,bathrooms,longitude,availability_30,availability_365,number_of_reviews,reviews_per_month,review_scores_checkin,review_scores_location,review_scores_value,nb_amenities,people_per_bedroom,estimated_months_active
4.0,1.0,1.0,1.0,2.3836744818684035,16.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,6.0,10.0
4.0,2.0,2.0,1.5,2.310207232440112,23.0,5.0,3.0,5.0,9.0,9.0,9.0,20.0,3.0,10.0
5.0,3.0,4.0,2.5,2.3607432,12.0,10.0,0.0,7.0,4.0,4.0,3.0,20.0,2.0,0.0
3.0,1.0,2.0,1.0,2.32732,19.0,4.0,0.0,7.0,4.0,4.0,3.0,19.0,4.0,0.0
2.0,1.0,1.0,1.0,2.38049,2.0,10.0,0.0,7.0,4.0,4.0,3.0,6.0,1.0,0.0
6.0,2.0,3.0,1.0,2.28917,12.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,6.0,10.0
2.0,1.0,2.0,1.0,2.35892,7.0,10.0,0.0,7.0,4.0,4.0,3.0,7.0,1.0,0.0
8.0,4.0,4.0,2.0,2.3428074831235848,28.0,3.0,0.0,7.0,4.0,4.0,3.0,20.0,10.0,0.0
2.0,1.0,1.0,1.0,2.339,2.0,10.0,9.0,10.0,2.0,9.0,10.0,20.0,1.0,10.0
3.0,1.0,2.0,1.0,2.378753900527954,7.0,10.0,10.0,10.0,7.0,0.0,10.0,20.0,4.0,10.0
4.0,2.0,2.0,1.0,2.33606,29.0,3.0,0.0,7.0,4.0,4.0,3.0,20.0,3.0,0.0
4.0,1.0,2.0,1.5,2.3915,8.0,10.0,0.0,7.0,4.0,4.0,3.0,3.0,6.0,0.0
3.0,1.0,2.0,1.0,2.32112,11.0,10.0,10.0,10.0,10.0,9.0,10.0,0.0,4.0,10.0
2.0,0.0,1.0,1.0,2.30786,0.0,10.0,10.0,10.0,10.0,10.0,10.0,2.0,6.0,10.0
2.0,1.0,1.0,1.0,2.3285997872693978,0.0,10.0,0.0,7.0,4.0,4.0,3.0,0.0,1.0,0.0
2.0,1.0,1.0,1.0,2.3918844,0.0,10.0,6.0,8.0,9.0,9.0,9.0,20.0,1.0,10.0
4.0,2.0,3.0,2.0,2.3383,12.0,10.0,8.0,10.0,1.0,9.0,9.0,20.0,3.0,10.0
2.0,1.0,1.0,1.0,2.34709,13.0,10.0,7.0,10.0,10.0,10.0,10.0,3.0,1.0,10.0
1.0,1.0,1.0,1.0,2.35397,30.0,9.0,10.0,10.0,5.0,2.0,10.0,5.0,0.0,10.0
6.0,3.0,3.0,4.0,2.339758100000001,0.0,10.0,0.0,7.0,4.0,4.0,3.0,5.0,4.0,0.0
2.0,1.0,1.0,1.0,2.3862480372190475,30.0,9.0,0.0,7.0,4.0,4.0,3.0,14.0,1.0,0.0
2.0,0.0,1.0,1.0,2.3344,8.0,10.0,10.0,10.0,10.0,8.0,10.0,20.0,6.0,10.0
2.0,1.0,1.0,1.0,2.33059,9.0,10.0,10.0,10.0,0.0,10.0,10.0,20.0,1.0,10.0
4.0,1.0,2.0,1.0,2.354781,2.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,6.0,10.0
4.0,2.0,0.0,2.0,2.2858238306884893,0.0,10.0,10.0,10.0,8.0,10.0,5.0,20.0,3.0,10.0
2.0,1.0,1.0,1.0,2.38265,24.0,10.0,8.0,10.0,1.0,9.0,4.0,20.0,1.0,10.0
5.0,3.0,4.0,1.0,2.33,27.0,10.0,4.0,10.0,9.0,9.0,9.0,11.0,2.0,10.0
4.0,2.0,2.0,1.0,2.26187,25.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,3.0,10.0
4.0,2.0,3.0,1.0,2.35956,2.0,10.0,10.0,10.0,10.0,9.0,10.0,20.0,3.0,10.0
8.0,3.0,4.0,3.0,2.3843953315737645,13.0,10.0,7.0,10.0,9.0,9.0,3.0,20.0,6.0,10.0
5.0,2.0,2.0,1.0,2.3570641,15.0,10.0,10.0,10.0,9.0,10.0,10.0,15.0,5.0,10.0
2.0,1.0,1.0,1.0,2.35786,4.0,10.0,10.0,10.0,10.0,10.0,3.0,20.0,1.0,10.0
4.0,2.0,2.0,1.0,2.38749,0.0,10.0,0.0,7.0,4.0,4.0,3.0,20.0,3.0,0.0
4.0,1.0,2.0,1.0,2.3642709,4.0,10.0,10.0,10.0,4.0,10.0,10.0,20.0,6.0,10.0
3.0,0.0,2.0,1.0,2.34168,0.0,0.0,10.0,10.0,8.0,2.0,6.0,9.0,8.0,10.0
3.0,1.0,2.0,1.0,2.34134,27.0,6.0,8.0,10.0,10.0,10.0,10.0,14.0,4.0,10.0
4.0,1.0,2.0,1.5,2.3867971526103835,27.0,2.0,1.0,1.0,9.0,9.0,0.0,12.0,6.0,5.0
7.0,2.0,7.0,1.5,2.34263,2.0,10.0,10.0,10.0,1.0,10.0,10.0,12.0,10.0,10.0
2.0,0.0,1.0,1.0,2.33803,23.0,10.0,9.0,10.0,2.0,10.0,10.0,20.0,6.0,10.0
5.0,3.0,3.0,2.0,2.37506,19.0,4.0,0.0,7.0,4.0,4.0,3.0,20.0,2.0,0.0
5.0,1.0,2.0,1.0,2.3909364976523566,2.0,10.0,1.0,8.0,9.0,9.0,9.0,20.0,7.0,1.0
2.0,1.0,2.0,1.0,2.3797699317413743,2.0,10.0,3.0,10.0,9.0,9.0,2.0,3.0,1.0,10.0
1.0,0.0,1.0,1.0,2.36528,24.0,10.0,0.0,7.0,4.0,4.0,3.0,6.0,1.0,0.0
5.0,2.0,2.0,1.5,2.38499,22.0,10.0,10.0,10.0,9.0,10.0,5.0,20.0,5.0,10.0
3.0,1.0,2.0,1.0,2.35262,3.0,10.0,0.0,7.0,4.0,4.0,3.0,7.0,4.0,0.0
3.0,2.0,2.0,1.0,2.34348,5.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,1.0,10.0
2.0,1.0,1.0,1.0,2.33558,0.0,10.0,10.0,10.0,10.0,9.0,10.0,16.0,1.0,10.0
2.0,1.0,1.0,1.0,2.36673,0.0,10.0,10.0,10.0,9.0,10.0,10.0,20.0,1.0,10.0
3.0,1.0,2.0,1.0,2.29555,0.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,4.0,10.0
5.0,4.0,4.0,2.0,2.328,28.0,7.0,0.0,7.0,4.0,4.0,3.0,11.0,1.0,0.0
4.0,1.0,2.0,1.0,2.34119,19.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,6.0,10.0
2.0,1.0,1.0,1.0,2.369,27.0,6.0,1.0,10.0,9.0,9.0,0.0,13.0,1.0,9.0
2.0,1.0,1.0,1.0,2.331356135326092,0.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,1.0,10.0
2.0,1.0,0.0,1.0,2.29261,23.0,10.0,0.0,7.0,4.0,4.0,3.0,20.0,1.0,0.0
4.0,1.0,1.0,2.5,2.37847,7.0,2.0,10.0,10.0,9.0,5.0,3.0,20.0,6.0,10.0
