accommodates,bedrooms,beds,bathrooms,longitude,neighbourhood_cleansed,room_type,number_of_reviews,reviews_per_month,review_scores_rating,review_scores_cleanliness,review_scores_location,nb_amenities,people_per_bedroom,amenities_per_person
2.0,1.0,1.0,1.0,-122.37751113324926,15.0,0.0,6.0,10.0,100.0,9.0,10.0,10.0,1.0,8.0
7.0,3.0,2.0,1.5,-122.4071214365844,15.0,0.0,0.0,8.0,96.0,10.0,10.0,1.0,1.75,20.0
4.0,1.0,3.0,1.0,-122.36167965105034,15.0,0.0,10.0,10.0,97.0,10.0,10.0,14.0,2.0,6.0
5.0,2.0,2.0,1.5,-122.29827646846728,15.0,0.0,1.0,1.0,100.0,10.0,10.0,12.0,1.6666666666666667,0.0
8.0,3.0,3.0,2.5,-122.30370783228072,8.0,0.0,5.0,5.0,100.0,10.0,10.0,16.0,2.0,20.0
2.0,0.0,1.0,1.0,-122.3319405777184,1.0,0.0,4.0,10.0,90.0,10.0,10.0,10.0,2.0,8.0
4.0,1.0,2.0,1.0,-122.39488690437372,15.0,0.0,10.0,10.0,96.0,9.0,9.0,9.0,2.0,20.0
4.0,2.0,2.0,1.5,-122.35795005421312,6.0,0.0,0.0,8.0,96.0,10.0,10.0,12.0,1.3333333333333333,3.0
3.0,1.0,2.0,1.0,-122.35478632812844,4.0,1.0,10.0,10.0,100.0,10.0,10.0,15.0,1.5,20.0
1.0,1.0,1.0,3.5,-122.30307524312455,11.0,2.0,10.0,8.0,90.0,9.0,9.0,10.0,0.5,15.0
4.0,2.0,4.0,1.0,-122.29332606848824,15.0,0.0,0.0,8.0,96.0,10.0,10.0,18.0,1.3333333333333333,20.0
4.0,1.0,1.0,1.0,-122.38661556538368,15.0,0.0,3.0,10.0,97.0,10.0,9.0,17.0,2.0,9.0
1.0,1.0,1.0,1.0,-122.3870543160037,15.0,1.0,10.0,10.0,98.0,10.0,10.0,17.0,0.5,20.0
3.0,1.0,1.0,1.0,-122.34344930825112,15.0,1.0,10.0,10.0,100.0,10.0,10.0,17.0,1.5,20.0
4.0,1.0,2.0,1.0,-122.35279913111854,15.0,1.0,10.0,10.0,93.0,9.0,10.0,12.0,2.0,3.0
2.0,0.0,1.0,1.0,-122.37508173306394,15.0,0.0,10.0,10.0,97.0,10.0,9.0,8.0,2.0,5.0
1.0,1.0,1.0,1.0,-122.30399039504596,12.0,1.0,0.0,8.0,96.0,10.0,10.0,14.0,0.5,20.0
4.0,1.0,2.0,1.0,-122.3449797198399,7.0,0.0,4.0,10.0,90.0,5.0,10.0,15.0,2.0,7.0
4.0,1.0,2.0,1.0,-122.3307621640446,3.0,0.0,10.0,10.0,94.0,9.0,10.0,13.0,2.0,4.0
4.0,2.0,3.0,1.0,-122.33424953721756,13.0,0.0,2.0,10.0,96.0,10.0,10.0,11.0,1.3333333333333333,1.0
4.0,1.0,2.0,1.0,-122.35336184929912,4.0,0.0,10.0,10.0,96.0,10.0,10.0,15.0,2.0,7.0
2.0,2.0,2.0,1.0,-122.3177188511541,12.0,0.0,10.0,5.0,100.0,10.0,10.0,10.0,0.6666666666666666,8.0
